
1832: Jan. 18,Clyde,Liverpool,Hobart,38,
1832: May 30,Ann Jameson,Leith via Cape,Hobart,14,
1832: Apr. 9,Adventure​​,Liverpool via Cape,Hobart,29,
1832: Jun. 18,Rubicon,London,Hobart,15,
1832: Jul. 9,Marianne,Sydney,Hobart,11,
1832: Jul. 15,Norval,Cork,Hobart,24,
1832: Aug. 5,Waterloo,Liverpool,Hobart,5,
1832: Aug. 16,Wellington,Liverpool,Hobart,15,
1832: Sep. 6,Princess Royal,London,Hobart,200,
1832: Aug. 23,Mansfield,London,Hobart,41,
1832: Sep. 9,Mary,London,Hobart,14,
1832: Sep. 24,Sophia,Sydney,Hobart,12,
1832: Sep. 31,Minerva,Leith,Hobart,23,
1832: Oct. 6,Mountaineer,Sydney,Hobart,10,
1832: Oct. 14,Sarab,Liverpool,Hobart,19,
1832: Nov. 7,Lavinia,Liverpool,Hobart,19,
1832: Nov. 12,Mail,Liverpool,Hobart,19,
1832: Nov. 12,North Briton,Leith,Hobart,21,
1832: Nov. 12,Thomas Laurie,London,Hobart,17,
1832: Nov. 30,John Craig,London,Hobart,58,
1832: Dec. 6,Edward Lombe,London via Cape,Hobart,42,
1832: Dec. 7,Duckenfield,London,Hobart,12,
1832: Dec. 13,Palambam,London,Hobart,6,
1833: Jan 30,Sir Thomas Munro,The Downs,Hobart,2,
1833: Feb. 12,Gulnare,London,Hobart,9,
1833: Mar. 1,Protector,London,Hobart,2,
1833: Mar. 2,Ellen,London,Hobart,6,
1833: Mar. 8,William,Liverpool,Hobart,19,
1833: Mar. 11,Chili​,London,Launceston,5,
1833: Mar. 30,Enchantress,London,Hobart,7,
1833: Apr. 24,Henry Porcher,London,Hobart,29,
1833: Apr. 26,Macclesfield,Liverpool,Hobart,12,
1833: Mar. 1,Chili,London,Launceston,5,
1833: Mar. 30,Enchantress,London,Hobart,7,
1833: Apr. 24,Henry Porch​er,London,Hobart,29,
1833: Apr. 26,Macclesfield,Liverpool,Hobart,12,
1833: Apr. 27,George Hibbert,Gravesend,Hobart,5,
1833: Jun. 26,Strathfieldsay,Dublin,Hobart,285,
1833: Jun. 26,Warrior,London,Hobart,21,
1833: Aug. 11,Thomas,Leith,Hobart,13,
1833: Aug. 12,Mary Ann,Plymouth,Hobart,8,
1833: Aug. 16,Curler,London,Hobart,12,
1833: Aug. 25,Cabotia,Liverpool,Hobart,33,
1833: Aug. 25,Sir John Rae Reid,London,Hobart,19,
1833: Sep. 9,Indiana,London,Hobart,15,
1833: Sep. 18,Locheil,Leith,Hobart,15,
1833: Sep. 30,Ann,London,Hobart,16,
1833: Sep. 30,Mary Catherine,Liverpool,Hobart,3,
1833: Oct. 9,Edward Colston,Liverpool,Hobart,22,
1833: Oct. 14,Drummore,Leith,Hobart,2,
1833: Oct. 23,Lady Last,Liverpool,Hobart,108,
1833: Oct. 23,Lonach,London,Hobart,2,
1833: Nov. 3,Eliza,Dublin,Hobart,49,
1833: Nov. 5,.Scotia,Leith,Hobart,6,
1833: Nov. 14,Wave,London,Hobart,5,
1834: Jan. 3,Princess Victoria,Liverpool,Hobart,3,
1834: Feb. 18,Othello,Liverpool,Hobart,5,
1834: Aug. 15,Strathfieldsay,Gravesend,Hobart,238,
1834: Dec. 26,Cabotia,Liverpool,Hobart,30,
1835: Jan. 16,Royal Saxon,Liverpool,Hobart,11,
